SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT175,5339,4661,4449,4246,4433,4253,4192,3907,4171,6171,2358,1538,5.31,0.58,0.8552,560,258,127.5,0.001,7.0994,0.001,1.1877,0.01,1.17725
OOT176,10268,10049,9639,9216,9600,9122,8903,8594,8830,14410,5314,3808,5.79,1.21,0.0251,32,168,32.71,0.001,7.4682,0.001,0.11556,0.01,0.89194
OOT177,311,585,841,769,1246,2449,2771,2914,2973,2141,2131,1287,6.38,0.17,0.46549,14,157,225.2,0.001,8.8973,7.7,0.96942,0.9,1.4404
OOT179,477,521,713,615,1089,2227,2555,2666,2754,2829,2130,1275,5.7,1.4,0.4059,227,963,56.7,0.001,5.7625,0.001,0.14445,18.2,0.6925
OOT180,234,353,574,527,1009,2082,2453,2541,2651,2750,1978,1188,6.91,0.17,0.568,356,159,1358,0.001,5.8547,6.1,0.39162,3.8,0.00831
OOT181,233,356,645,589,1186,2563,3012,3148,3271,2836,2274,1367,7.03,0.17,0.464,324,258,258,0.001,1.383,2.4,0.18618,21.7,0.6371
OOT182,5377,4828,4611,4160,4750,5265,5388,5357,5335,16083,2605,2365,4.1,0.43,0.464,213,157,147,0.001,2.9965,0.001,0.00321,0.01,0.7202
OOT183,324,407,619,588,890,1550,1755,1829,1859,2823,1544,1084,4.96,0.37,0.0173,9,239,148.3,0.001,4.50858,0.001,5.53083,0.01,0.6925
OOT184,401,304,573,412,977,2598,3069,3234,3337,3000,2060,1075,6.25,0.15,0.1892,560,158,135.4,0.001,2.9504,3,3.32556,6.5,3.3517
OOT185,270,311,475,371,583,1084,1234,1269,1300,940,1034,683,5.8,0.11,0.938,560,147,147.5,0.001,3.5036,0.001,3.83595,0.01,1.7451
OOT186,5377,4828,4611,4160,4750,5265,5388,5357,5335,16083,2605,2365,5.07,0.61,0.4654,248,159,100.1,0.001,1.4752,0.001,1.5087,0.01,0.6648
